No.,Title,Text
1,ミツウロコグリーンエネルギー、系統用蓄電池第2号案件運用開始,ミツウロコグリーンエネルギー（東京都中央区）は12月15日、再生可能エネルギー主力電源化の普及および電力系統の安定化に向けた取り組みとして、宮城県仙台市の所有地に系統用蓄電池を設置し「ミツウロコ宮城県仙台蓄電所」として運用を開始した。同蓄電所は9月20日より運用を開始した「ミツウロコ愛知県田原蓄電所」」に続く2件目。出力は1534kW、容量は6140kWhとなっており、蓄電池を「調整力」として活用し、再エネ電源の発電計画に対する過不足分を蓄電池の充放電制御で補うことで電力系統の安定化にも寄与する。また、本蓄電所は分散型エネルギーリソースの制御などに用いることも可能だという。
2,東京都、「超小型燃料電池車の開発」など13件の地域発製品開発を支援,東京都と東京都中小企業振興公社は12月21日、東京の地域資源等を活用した、または、都市課題を解決する新製品・新サービスの開発に取り組む中小企業者等を支援する事業について、13件の支援先を決定したと発表した。事業名は2023年度「TOKYO地域資源等を活用したイノベーション創出事業」。地域資源活用事業と東京の都市課題解決事業により製品等の開発に取り組み、地域発の小さなイノベーションを創出することが狙い。
3,トヨタ、タイでの脱炭素化に向けた協業を加速へ　合意書締結,トヨタ自動車（愛知県豊田市）は12月19日、タイのCharoen Pokphand（CP）グループ、True　Leasing（TLS）、Siam Cement Group（SCG）とトヨタ出資のCommercial Japan Partnership Technologies（CJPT／東京都文京区）と共に、タイでのカーボンニュートラル実現に向けた協業を加速するため、協業基本合意書を締結したと発表した。財閥であるCPグループ、セメント製造のSCGの現場で、物流効率化やカーボンニュートラル車両を導入するなどこれまで実施してきた協業の成果を踏まえ、さらなる取り組みの推進がねらい。自国の資源を活かした「タイならでは」のカーボンニュートラル社会の実現を目指す。
4,北陸電力に業務改善指導、グループ送配電会社を通じ新電力の顧客情報が筒抜け,電力・ガス取引監視等委員会は12月19日、北陸電力（富山県富山市）グループの一般送配電事業者である北陸電力送配電（同）に対し、新電力の顧客等に係る非公開情報の漏えい等に係る業務改善指導を行ったと発表した。今般、北陸電力送配電において、新電力の顧客等に係る非公開情報が、北陸電力において閲覧可能な状態となっていたことが判明した。いずれの事案においても、北陸電力の従業員による不適切な情報の閲覧や業務利用は認められていない。
5,COP28、2030年に再エネ3倍、エネ効率2倍とする目標で合意,アラブ首長国連邦（UAE）・ドバイにおいて開催されていた、国連気候変動枠組条約第28回締約国会議（COP28）は12月13日（現地時間）、最終合意文書「UAEコンセンサス」を採択して閉幕した。この最終合意文書では、2030年までに世界の再生可能エネルギーの容量を3倍とし、エネルギー効率を2倍にする目標の設定や、化石燃料からの脱却の加速に言及している。石油、ガス、石炭などの化石燃料については、「段階的に削減」または「段階的に廃止」すべきという意見もあり、議論は紛糾した。※記事単位での購入はポイントが必要です
6,東急不動産、保有ビルZEB化　電気使用量42％・CO2年間1360t減,東急不動産（東京都渋谷区）は12月18日、管理運営する「一番町東急ビル」（東京都千代田区）、「恵比寿ビジネスタワー」（東京都渋谷区）が、それぞれ同月1日・8日付けで改修工事によるBELS（建築物省エネルギー性能表示制度）評価を取得し、ZEB Orientedを達成したと発表した。また、「日本橋本町東急ビル」（東京都中央区）も現在BELS申請中（2024年1月末に取得予定）で、ZEB Orientedを達成する見込みとしてる。
7,AZEC首脳会合　岸田首相は経済界同士の連携に向けた会議設置を提案,日ASEAN（東南アジア諸国連合）友好協力50周年を記念する日ASEAN特別首脳会議が、12月16日～18日に東京で開催された。また、この機会を捉え、12月18日に、各国の状況に合わせた多様な道筋でアジア地域全体の脱炭素化を目指す、アジア・ゼロエミッション共同体（AZEC）首脳会合が開催された。AZEC首脳会合には、AZECパートナー国の首脳が参加し、AZECの考え方や活動に係る議論を実施した。経済産業省は12月18日、この会合の結果をとりまとめ報告した。
8,三菱地所、国内初「気候テック」に特化したイノベーション拠点を来年秋開設,三菱地所（東京都千代田区）は、「気候テック（Climate Tech）」において国内初のイノベーション拠点「（仮称）Japan Climate Tech Lab」を新大手町ビル（東京都千代田区）を2024年秋に開設することを発表した。
9,水素・CCUSは黄信号か　ビジネス視点で見る地球沸騰化時代のCOP28,COP28が12月13日に閉幕した。7月に国連のグテーレス事務総長が「地球沸騰の時代が到来した」と警鐘を鳴らした後のこの会議。その結果は、ビジネス視点ではどのように捉えられるものだろうか。再エネや省エネ、石炭火力、水素、CCUSなどのそれぞれの事業や技術の果たす役割が見えてくる。京都大学名誉教授で地球環境戦略研究機関シニアフェローの松下 和夫氏に「COP28の結果とビジネスへの意味」を解説してもらった。（後編、前編はこちら）COP28の結果は、今後のビジネスにとってどのような意味があるか。第1は、国際社会が再エネを2030年までに3倍に拡大することに合意したことから、日本でも再エネの拡大を最大限加速する必要性が高まることである。※記事単位での購入はポイントが必要です
10,再エネ価値はさらに細分化するか？ ―非化石価値市場の変遷とビジネスチャンス（2）,連載「再エネビジネスの視点で捉える電力業界における最近の注目動向」第14回。非化石価値取引市場は、再エネ価値取引市場、高度化法義務達成市場（再エネ指定なし／あり）の3つに分かれている。課題となっていることや、さらなる細分化が懸念される理由とは何か。再エネ電力事業の最前線で立上げ・運営をリードした小嶋 祐輔氏が解説する。（バックナンバーはこちら）前回に引き続き、非化石価値取引市場について解説する。需要家側のニーズに合わせる形で、価値の体系や市場が多様になったが、それにより、それぞれが市場を形成するほどの規模にならない課題が発生している。電気を使う人の再エネ価値の調達方法や、小売電気事業者の皆さんが非化石価値取引の方針策定をする上で一助にしてもらいたい。現在、非化石価値取引市場は、（1）再エネ価値取引市場（FIT電源から出てくる非化石価値を取引する市場）、（2）高度化法義務達成市場（再エネ指定なし）、（3）高度化法義務達成市場（再エネ指定あり）の3つに分かれている。高度化法義務達成市場は、非化石価値のある電源からの電力調達を義務付けられた事業者が、義務達成のために非化石価値を調達できる市場である。※記事単位での購入はポイントが必要です
11,ホテル運営のグリーンズ、自然電力から再エネ購入　23年6月以来2回目,「コンフォートホテル」などを運営するグリーンズ（三重県四日市市）は12月13日、自然電力（福岡県福岡市）が代理調達したトラッキング付FIT非化石証書を購入し、再エネを導入したと発表した。福岡県内の水力発電所から創出された証書を購入することで、県内における「環境価値」の地産地消に貢献する。今回の購入量は、同社運営「コンフォートホテル小倉」（福岡県北九州市）の年間CO2排出量約131トン分に相当する。
12,アジア開発銀、フィリピンの太陽光発電PJを支援　145億円融資,アジア開発銀行（ADB）とフィリピンの大手財閥アヤラ・コーポレーション傘下の発電会社ACENは、フィリピンの太陽光発電容量を増強し、同国のエネルギー転換目標を支援するため、最大55億ペソ（約145億円）の融資に調印した。資金は、ACENの太陽光発電プロジェクトに充てられる。年間450GWhの発電容量の増加になり、2029年までに、年間27万7650トンのCO2排出量を削減できる見込みだ。
13,PXP、「曲がるソーラーパネル」の新しい貼り合わせ技術を開発,太陽電池製造のスタートアップPXP（神奈川県相模原市）は12月19日、金属箔基盤を用いた「曲がる太陽電池」のセルをつなげる新たな貼り合わせ技術を開発したと発表した。新技術では、性能を下げることなくセル同士を直接貼り合わせることができ、振動に強く、糊代部分のロスなく並べることが可能に。これにより、大きさ・形も自由な曲がるソーラーパネルの制作が可能になる。太陽電池セルをつなげる方法では、タブ線とはんだを用いる手法が一般的だが、コストや銀の使用量の削減が課題となっていた。そのため、近年はセルを直接貼り合わせる方法の開発が盛んに行われている。
14,「化石燃料からの脱却」に合意　地球沸騰化時代のCOP28結果の主要点,CO28が12月13日に閉幕した。7月に国連のグテーレス事務総長は「地球沸騰化の時代」と警鐘を鳴らした後のこの会議ではどのような議論がなされたのか。「化石燃料からの脱却」に合意したがその実効性は？また、気候変動による損失と損害のための基金には7億9200万ドル（日本円で約1150億円）の拠出が表明されたが、果たして対策として十分なものなのだろうか。京都大学名誉教授で地球環境戦略研究機関シニアフェローの松下 和夫氏に「COP28の結果とビジネスへの意味」を解説してもらった。（前編）観測史上最も暑かった今年の12月に産油国のUAE（アラブ首長国連邦）でCOP28（国連気候変動枠組条約第28回締約国会議）が開催された。COP28の交渉の中心は、パリ協定の下での初めての「グローバル・ストックテイク」の集大成であり、特に化石燃料についてどのような見解を示すかであった。※記事単位での購入はポイントが必要です
15,損保ジャパンと古河電工、太陽光の銅線盗難対策でアルミ導体ケーブルを提供,損害保険ジャパン（東京都新宿区）と古河電気工業（同・千代田区）は12月15日、太陽光発電設備の銅線（銅導体ケーブル）盗難対策として、アルミ導体ケーブルの活用を促進する新サービスを開始したと発表した。同サービスは11月1日より提供している。太陽光発電設備の銅導体ケーブル盗難被害時における早期の復旧と、ケーブル盗難の再発防止を図ることで、太陽光発電による電力の安定供給に貢献する。
16,シチズン時計子会社、工場にグループ最大規模の太陽光発電を導入,シチズン時計マニュファクチャリング（埼玉県所沢市）は12月14日、ミヨタ佐久工場（長野県佐久市）に導入した太陽光発電設備の稼働を開始した。同工場内の屋上に設置した太陽光パネルは4714枚、総パネル面積は8643.2m2で、シチズングループ事業所での最大規模となる。同社は、CO2排出量削減に向けて、再生可能エネルギーの活用を推進するため、同施設の導入を決定した。佐久市の日照時間は全国トップクラスであることから、同社は同設備導入の効果は大きいと見ている。同設備の年間発電量は2033MWhで、同工場で使用する電力の約20.4％を賄う。これにより、年間約714.9トンのCO2排出量を削減できる見込みだ。
17,関電・双日、国内最大級5万kWオフサイトPPA　JR西の主要線向け,西日本旅客鉄道（大阪府大阪市）は12月14日、関西電力（同）および双日（東京都千代田区）と、コーポレートPPAに関する基本合意書を締結し、JR京都線・神戸線・宝塚線などの近畿エリア主要線に再エネ電力を導入すると発表した。早ければ2026年中に供給を開始する。この取り組みでは、双日がJR西専用の太陽光発電設備（出力約5万kW）を開発し、発電した再エネ電力と環境価値（非化石証書）を関電がJR西に販売。JR西は主要線区の列車運転用電力に活用する。
18,千葉商科大、地域共生型の再エネ導入　オフサイトコーポレートPPA活用,千葉商科大学は12月14日、「千葉商科大学大木戸ソーラー発電所（千葉市緑区）」で発電された電力を、20年間固定価格で購入すると発表した。開始は2024年4月1日から。同学はこれまでも、所有する土地・建物屋上に太陽光発電設備を設置する取り組みを行ってきたが、さらなる再エネの導入拡大を目指し、オフサイトコーポレートPPAにより、学外の農地を活用した営農型太陽光発電設備を導入する。
19,東邦ガス、e-メタン年間約3万トン導入へ　豪企業と事業性を検討,東邦ガス（愛知県名古屋市）は12月13日、豪州のエネルギー企業サントスの100％子会社であるサントスベンチャーズ社と、豪州におけるe-メタンの製造と日本への輸出に向けた事業性検討に関する共同スタディ契約を締結したと発表した。両社は、同検討において、豪州の豊富な再エネ電力からつくり出す水素とCO2を原料に、豪州中東部のクーパーベイスンでのe-メタンの製造、および既存のLNG基地を活用したe-メタンの日本への輸出に関する実現性評価を共同で実施する。
20,北陸電力、イベント事業者向け再エネ電気料金メニューの提供開始,北陸電力（富山県富山市）は12月13日より、イベントで使用する電気に再エを活用した電気を提供する電気料金メニュー「かがやきGREEN MICE」の提供を開始した。同日、第1号案件として富山県労働者福祉事業協会のイベント（貸し会議室「ボルファートとやま」で開催）に同メニューによる電気を提供し、CO2排出量を約374kg-CO2削減したと発表した。
21,サンヴィレッジら、地域新電力「金シャチエナジー」を共同設立,太陽光発電所建設・運営事業を展開するサンヴィレッジ（栃木県足利市）は12月15日、再エネ発電を中心事業とする地域新電力「金シャチエナジー（愛知県名古屋市）」を共同設立したと発表した。オフサイトPPAを活用し、地域の脱炭素化を後押しする。新会社では、東海エリアの電力需要家に対し、太陽光発電のほか、未利用地や施設の屋上・屋根を活用したPPAやソーラーシェアリングなどの再エネの電源開発を行い電力を供給するほか、地方自治体の地域脱炭素化事業を支援していく。共同出資者と各社の役割は以下のとおり。
22,【限定公開】日立の旗艦工場におけるGX・脱炭素化プロジェクトの全容PR,「2050年カーボンニュートラル実現」という政府目標が掲げられて以降、あらゆる企業で気候変動への対応や脱炭素経営に向けた取り組みが問われている。そんな中、日立は環境長期目標「日立環境イノベーション2050」を掲げ、2030年度までの事業所におけるカーボンニュートラル達成と2050年度までのバリューチェーン全体でのカーボンニュートラル達成のほか、水や資源の高度循環社会、生態系の保全を旨とする自然共生社会の実現などを表明した。その具体的な取り組みとして2022年に始動したプロジェクトが「大みかグリーンネットワーク」だ。本プロジェクトでは、脱炭素を中心として再生可能エネルギーや生物多様性などさまざまな環境テーマに沿った実証プログラムを通じて新たな技術やノウハウを蓄積し、環境に関わる社会課題の解決に向けた協創を追求する。本プロジェクトの基点となる日立の大みか事業所は、1969年の開設以来、長年にわたって鉄道や電力など社会インフラを支える情報制御システムの設計・製造・開発・保守を担ってきた。先進技術や環境配慮に関する新たな試みにいち早く取り組んできた本事業所は、日立の事業をリードするいわば『旗艦工場』でもある。本事業所は2020年に、世界経済フォーラム（WEF）が認定する第四次産業革命をリードする先進的な工場「Lighthouse」に日本で初めて選出されている。現在は徹底した精算・エネルギー管理による工場経営DXを通じて得た知見をもとに、脱炭素化を進めるのに必要なコストとCO2排出量を削減する環境経営GXを推進することで事業の継続と成長、そして脱炭素を両立させるのがねらいだという。今回は「大みかグリーンネットワーク」のプロジェクト概要をまとめた資料を、期間限定で公開する。CO2排出量の見える化と削減目標の設定、エネルギー最適化、再エネ拡大、EV導入、自然共生など、事業所で実際に行った取り組みの具体例が端的にまとめられている。ぜひとも自社の脱炭素化に向けた取り組みの参考にしてほしい。※2024年3月上旬まで公開の予定株式会社日立製作所住所：〒140-8574東京都品川区南大井六丁目26番1号　大森ベルポートA館HP：日立製作所
23,ペロブスカイト太陽電池の実証、神奈川県も実施へ　エネコート・日揮と連携,神奈川県は12月12日、ペロブスカイト太陽電池の実用化と普及啓発に向けて、エネコートテクノロジーズ（京都府久世郡）および日揮（神奈川県横浜市）と連携協定を締結すると発表した。既存建築物への導入を視野に、外置き・後づけを中心とした同太陽電池の実用化に向けた実証を行う。この取り組みの中心的役割を担うのは、京都⼤学発のスタートアップ企業エネコートテクノロジーズ。今回の実証では、ペロブスカイト太陽電池を提供するほか、発電性能に関する検証や実用化・量産化に向けた研究・開発を行う。日揮は、実証設備の設置および発電システムの設計・施工を担当し、シリコン系太陽電池のリパワリング（経年劣化した既存設備に、ペロブスカイト太陽電池を設置し発電量を増強する）の実証を検討する。また、街並みや導入先のニーズにマッチする施工方法・リサイクル方法の検討も行う。
24,「取引先からはどんな脱炭素要請が想定されるか？」分類と経営層への理解,「銀行や取引先などさまざま方面から脱炭素について来ているがどう対処しようか」「脱炭素の要請を経営層に理解してもらうためにはどうしたら良いのか？」今回は脱炭素の要請と経営層への理解についてポイントを解説。数多くの企業課題解決を成功に導いてきたプロレド・パートナーズの環境コンサルティングセクターリーダー石塚遼氏に道案内してもらう。（連載第10回、バックナンバーはこちら）前回は脱炭素の要請が取引先から企業に届くまでの背景を解説した。今回は、その要請をする側企業の分類や、それぞれの一般的なニーズやポイントを解説する。要請を発する企業はどのようなタイプがあるのか。前回ではファーストリテイリングを例に出したが、大きく分けて２つある。※記事単位での購入はポイントが必要です
25,丸紅、サウジ・ショッピングモール屋根＆駐車場に太陽光導入　約50MW,丸紅（東京都千代田区）は12月13日、子会社のAXIA POWER HOLDINGS B.V.（AXIA社）を通じて、サウジアラビアでショッピングモールを運営するCenomi Centersと、屋根置き型太陽光発電システムを活用した長期売電契約を締結したと発表した。Cenomi運営のショッピングモール屋根および駐車場に太陽光設備を導入し、約50MWの電力を供給する。サウジアラビアは、国家開発計画「Saudi Vison 2030」において、2030年までに再エネ発電量を58.7GWに増加させる目標を掲げ、取り組みを推進している。同国において、丸紅はラービグ太陽光発電事業（300MW）参画などの実績がある。
26,ミライラボ、都内駐車場で太陽光路面発電パネル・蓄電池の実証,MIRAI-LABO（東京都八王子市）は12月13日、東京建物グループの日本パーキング（同・千代田区）とともに、ZEPの実現に向けて、太陽光路面発電パネルと環境配慮型の蓄電池を活用し、使用電力を自給自足する駐車場運営の実証実験を開始したと発表した。ZEPとは、日本パーキングが独自に定めたZero Energy Parking（ゼロ・エネルギー・パーキング）の略称で、電力の省エネ推進、再エネへの転換および創エネ設備の導入により、電力小売事業者からの電力供給を頼らない駐車場の実現を目指すというもの。実証では、駐車場内の舗装面に、MIRAI-LABOが開発した、太陽光路面発電パネル「Solar Mobiway」48枚と、中古EV車両の廃バッテリーを再製品化した環境配慮型の蓄電池（EVリパーパス蓄電池）を組み合わせた自律型エネルギーシステムを設置する。
27,日本ベネックス、奈良県安堵町にて約1.3MWの屋根借りメガソーラーを稼働,"日本ベネックス（長崎県諫早市）は12月10日、物流施設「LF奈良ANNEX（奈良県生駒郡安堵町）」の屋根を賃借した太陽光発電所「ベネックス奈良2ソーラーポート」の運転を開始した。同発電所では、出力1,315.6kW (DC)、年間予想発電量は約1,47万kWh を想定している。これは、一般家庭約490世帯分に相当する。「LF奈良ANNEX」の屋上屋根に2,392枚の太陽電池モジュールが設置された。"
28,ミネベアミツミG、道内5拠点に太陽光設置・16GWh　半導体製造に活用,ミネベアミツミ（長野県北佐久郡）は12月11日、グループ会社のミツミ電機（東京都多摩市）が、北海道内5拠点に大規模太陽光発電システムを設置すると発表した。電力は自己託送により、千歳事業所での半導体製造に活用し、CO2排出量の低減およびコストダウンを図る。自己託送および太陽光発電システムの設置は、ジャパン・リニューアブル・エナジー（東京都港区）が担う。12月以降順次運転を開始し、千歳事業所で使用するピーク電力量の全量を調達する。
29,どう再エネ比率を上げるか？ ―非化石価値市場の変遷とビジネスチャンス,連載「再エネビジネスの視点で捉える電力業界における最近の注目動向」第13回。2017年、小売電気事業者の高度化法達成の手段として「非化石価値取引市場」が開設された。その意義や事業者に与えた影響、2021年度に増設された経緯はどのようなものだったか。再エネ電力事業の最前線で立上げ・運営をリードした小嶋 祐輔氏が解説する。（バックナンバーはこちら）今回から2回にわたって、2017年度に開設し、2021年度に増設された「非化石価値取引市場」の変遷と、それが事業者に与えてた影響について説明していていく。昨今では、非化石価値の取引は小売電気事業者を介してではなく、需要家が直接行えるようになってきている。小売電気事業者だけではなく、電力を買う需要家やアグリゲーター、発電事業者にとっても、複雑に変化するこの市場動向を把握することで、非化石価値取引検討の一助にしてもらいたい。非化石価値取引市場は2017年に開設され、その目的は小売電気事業者の高度化法達成の手段としての意味合いが強かった。※記事単位での購入はポイントが必要です
30,温室効果ガス排出削減等指針の見直し　ファクトリスト更新で情報提供受付,環境省は12月11日、事業者が講ずべき措置を定めた「温室効果ガス排出削減等指針」の見直しや拡充に向けて、先進的な対策や各対策の性能水準・コストなどを一覧としてまとめた「基礎的な技術情報（ファクトリスト）」の更新案について、情報提供の受付を開始すると発表した。期間は12月11日から2023年1月29日まで。同省は現在、温室効果ガス排出削減等指針において、最高水準の機器・設備など先進的な機能を対象としていくことを念頭に、関連する基礎的な技術情報の対策リスト・各対策の性能水準・コストなどの収集・整理を実施しているが、根拠に基づく情報提供の照会（Call for evidence）を実施し、さらなる情報収集を行うこととした。今回は、特に国民に開かれた形で実施するため、客観的根拠に基づくさらなる検証として、国民・専門家・事業者・NGOなどを対象に、ファクトリストの内容を踏まえた質問票に沿うよう、根拠に基づく積極的な情報提供を照会する。
31,消費行動、日本は価格優先が約5割　EYサステナブル世界調査,EY Japan（東京都千代田区）は12月11日、日本を含めた世界28カ国・2万2000人を対象に実施した消費者動向調査「第13回EY Future Consumer Index」の結果を公表し、日本と世界の比較結果を明らかにした。調査では、消費行動における優先事項について聞いた。その結果、地球環境への配慮を第一優先に掲げる日本の消費者は10％とどまり、全世界平均18％を大きく下回った。一方、「消費行動において価格を最優先する」と回答した日本人の消費者は49％で、全世界平均34％を大きく上回った。日本人が生活防衛に走る理由としては、不透明な景気見通しや物価の高止まり、それに後れを取る賃上げ状況、継続する世界情勢の緊迫など数多くの原因があると、同調査は分析している。
32,アイシングループ、SBTiの認定取得,アイシン（愛知県刈谷市）は12月8日、同社グループの温室効果ガス（GHG）排出削減目標が「SBTi（Science Based Targets Initiative）」の認定を取得したと発表した。同社グループは、2030年度のGHG排出削減目標について、スコープ1・2で46.2％削減、スコープ3（カテゴリ1・11）で27.5％削減とした（いずれも2019年度比）。この取り組みが、パリ協定が定めるGHG排出削減目標における科学的根拠に基づいた目標と認められ、今回の認定に至った。具体的には、生産・製品について以下のような取り組みを実施した。
33,グリーンコープ福岡西支部、全車両EV化　動力源も含めカーボンニュートラル,グリーンコープ共同体（福岡県福岡市）は12月7日、グリーンコープ生活協同組合ふくおかの福岡西支部で利用している全車両48台を電気自動車（EV）へ移行したと発表した。同支部では、すでに配送用トラック36台と、移動販売用トラック1台をEV化していた。11月末に、営業や小規模配達に使用している車両11台を新たにEVに転換したことで、全車両のEV化が完了したという。
